!SIL	SIL
<UNK>	SPN
TURRFÔRI	t u R R f u R i
TURRÒT	t u R R u t
TURRÒTANE	t u R R u t a n a
TURRÒTAR	t u R R u t a R
TURRÒTE	t u R R u t a
TURRÒTEN	t u R R u t @ n
TURRÒTENT	t u R R u t E n t
TURRÒTI	t u R R u t i
TURRÒTNARE	t u R R O t n a R a
TURRÒTNAST	t u R R O t n A s t
TURRÒTNASTE	t u R R O t n A s t a
TURRÒTNE	t u R R O t n a
TURR-RÒT	t u R R R u t
TURR-RÒTANE	t u R R R u t a n a
TURR-RÒTAR	t u R R R u t a R
TURR-RÒTE	t u R R R u t a
TURR-RÒTEN	t u R R R u t @ n
TURR-RÒTENT	t u R R R u t E n t
TURR-RÒTI	t u R R R u t i
TURR-RÒTNARE	t u R R R O t n a R a
TURR-RÒTNAST	t u R R R O t n A s t
TURR-RÒTNASTE	t u R R R O t n A s t a
TURR-RÒTNE	t u R R R O t n a
TURRVÊR	t u R R v @ R
TURRVÊRA	t u R R v e R A
TURRVÊRET	t u R R v e R @ t
TURRVÊRI	t u R R v e R i
TVANGSFÔRANDE	t v A N s f u R A n n a
TVANGSFÔRAR	t v A N s f u R a R
TVANGSFÔRAST	t v A N s f u R A s t
TYTEBÆRGELÉ	t y t e b a R g e l e
TYTEBÆRGELÉANE	t y t e b a R g e l e a n a
TYTEBÆRGELÉAR	t y t e b a R g e l e a R
TYTEBÆRGELÉEN	t y t e b a R g e l e @ n
TYTTEBÆRGELÉ	t y t e b a R g e l e
TYTTEBÆRGELÉANE	t y t e b a R g e l e a n a
TYTTEBÆRGELÉAR	t y t e b a R g e l e a R
TYTTEBÆRGELÉEN	t y t e b a R g e l e @ n
TÆL	t E l
TÆLS	t a l s
TÆR	t a R
TÆRE	t a R a
TÆRENDE	t a R E n n a
TÆRER	t a R @ R
TÆRES	t a R @ s
TÆRET	t a R @ t
TÆRNE	t a R n a
TÆRNES	t a R n @ s
TÆRS	t a S
TÄTT	t E t
TØ	t y
TØA	t y A
TØAS	t y a s
TØEN	t y @ n
TØENE	t y E n a
TØENES	t y e n @ s
TØENS	t y @ n s
TØER	t y @ R
TØERS	t y a S
TØMMERFLØTER	t W m m a R f l y t @ R
TØMMERFLØTERS	t W m m a R f l y t a S
TØR	t y R
TØRKEVÊR	t W R k e v @ R
TØRKEVÊRA	t W R k e v e R A
TØRKEVÊRET	t W R k e v e R @ t
TØRKEVÊRI	t W R k e v e R i
TØRN	t W R n
TØRNA	t W R n A
TØRNAS	t W R n a s
TØRNE	t W R n a
TØRNEDE	t W R n e d a
TØRNENDE	t W R n E n n a
TØRNENDES	t W R n E n n @ s
TØRNENE	t W R n E n a
TØRNENES	t W R n e n @ s
TØRNER	t W R n @ R
TØRNES	t W R n @ s
TØRNES	t W R n @ s
TØRNET	t W R n @ t
TØRNETE	t W R n e t a
TØRNETES	t W R n e t @ s
TØRNETS	t W R n E t s
TØRNING	t W R n I N
TØRNS	t W R n s
TØRRFÔRI	t W R R f u R i
TØRRÒT	t W R R u t
TØRRÒTANE	t W R R u t a n a
TØRRÒTAR	t W R R u t a R
TØRRÒTE	t W R R u t a
TØRRÒTEN	t W R R u t @ n
TØRRÒTENT	t W R R u t E n t
TØRRÒTI	t W R R u t i
TØRRÒTNARE	t W R R O t n a R a
TØRRÒTNAST	t W R R O t n A s t
TØRRÒTNASTE	t W R R O t n A s t a
TØRRÒTNE	t W R R O t n a
TØRR-RÒT	t W R R R u t
TØRR-RÒTANE	t W R R R u t a n a
TØRR-RÒTAR	t W R R R u t a R
TØRR-RÒTE	t W R R R u t a
TØRR-RÒTEN	t W R R R u t @ n
TØRR-RÒTENT	t W R R R u t E n t
TØRR-RÒTI	t W R R R u t i
TØRR-RÒTNARE	t W R R R O t n a R a
TØRR-RÒTNAST	t W R R R O t n A s t
TØRR-RÒTNASTE	t W R R R O t n A s t a
TØRR-RÒTNE	t W R R R O t n a
TØRRVÊR	t W R R v @ R
TØRRVÊRA	t W R R v e R A
TØRRVÊRET	t W R R v e R @ t
TØRRVÊRI	t W R R v e R i
TØRSTAD	t W R S t a d
TØRT	t W R t
TØRTS	t W R t s
TØRUD	t y R u d
TØS	t y s
TØT	t y t
TØVÊR	t y v @ R
TØVÊRA	t y v e R A
TØVÊRET	t y v e R @ t
TØVÊRI	t y v e R i
TØYRVÊR	t y y R v @ R
TØYRVÊRA	t y y R v e R A
TØYRVÊRET	t y y R v e R @ t
TØYRVÊRI	t y y R v e R i
TØYVÊR	t y y v @ R
TØYVÊRA	t y y v e R A
TØYVÊRET	t y y v e R @ t
TØYVÊRI	t y y v e R i
TÅKEVÊR	t o k e v @ R
TÅKEVÊRA	t o k e v e R A
TÅKEVÊRET	t o k e v e R @ t
TÅKEVÊRI	t o k e v e R i
ULØST	u l W s t
ULØSTE	u l W s t a
ULØSTES	u l W s t @ s
ULØSTS	u l W s t s
UNDERFÔRA	u n n a R f u R A
UNDERFÔRAARE	u n n a R f u R o R a
UNDERFÔRAAST	u n n a R f u R O s t
UNDERFÔRAASTE	u n n a R f u R O s t a
UNDERGJØRENDE	u n n a R j y R E n n a
UNDERGJØRENDES	u n n a R j y R E n n @ s
UNDERSTØTT	u n n a R S t W t
UNDERSTØTTE	u n n a R S t W t a
UNDERSTØTTES	u n n a R S t W t @ s
<UNK>	u N k
UNNLÉT	u n l e t
UNNLÈT	u n l @ t
UNØDIG	u n y d I
UNØDIGE	u n y d i g a
UNØDIGES	u n y d i g @ s
UNØDIGS	u n y d I g s
URFJØR	u R f j y R
URFJØRA	u R f j y R A
URFJØRAS	u R f j y R a s
URFJØREN	u R f j y R @ n
URFJØRENE	u R f j y R E n a
URFJØRENES	u R f j y R e n @ s
URFJØRENS	u R f j y R @ n s
URFJØRS	u R f j W S
URPREMIÉRE	u R p R e m i e R a
URPREMIÉREN	u R p R e m i e R @ n
UTANVÊR	u t A n v @ R
UTANVÊRA	u t A n v e R A
UTANVÊRET	u t A n v e R @ t
UTANVÊRI	u t A n v e R i
UTAVÊR	u t a v @ R
UTAVÊRA	u t a v e R A
UTAVÊRET	u t a v e R @ t
UTAVÊRI	u t a v e R i
UTELÉT	u t e l e t
UTELÈT	u t e l @ t
UTEVÊR	u t e v @ R
UTEVÊRA	u t e v e R A
UTEVÊRET	u t e v e R @ t
UTEVÊRI	u t e v e R i
UTFÔRINGANE	u t f u R I N a n a
UTFÔRINGAR	u t f u R I N a R
UTFÔRINGI	u t f u R I N i
UTFØRING	u t f y R I N
UTFØRINGA	u t f y R I N A
UTFØRINGAS	u t f y R I N a s
UTFØRINGEN	u t f y R I N @ n
UTFØRINGENE	u t f y R I N E n a
UTFØRINGENES	u t f y R I N e n @ s
UTFØRINGENS	u t f y R I N @ n s
UTFØRINGER	u t f y R I N @ R
UTFØRINGERS	u t f y R I N a S
UTFØRINGS	u t f y R I N s
UTSTØTT	u t s t W t
UTSTØTTE	u t s t W t a
UTSTØTTES	u t s t W t @ s
UTSTØTTS	u t s t W t s
UVÊR	u v @ R
UVÊRA	u v e R A
UVÊRET	u v e R @ t
UVÊRI	u v e R i
UVÊRSBOLK	u v a R S b O l k
UVÊRSBOLKANE	u v a R S b O l k a n a
UVÊRSBOLKAR	u v a R S b O l k a R
UVÊRSBOLKEN	u v a R S b O l k @ n
UVÊRSDAG	u v a R S d a g
UVÊRSDAGANE	u v a R S d a g a n a
UVÊRSDAGAR	u v a R S d a g a R
UVÊRSDAGEN	u v a R S d a g @ n
UVÊRSFUGL	u v a R S f u g l
UVÊRSFUGLANE	u v a R S f u g l a n a
UVÊRSFUGLAR	u v a R S f u g l a R
UVÊRSFUGLEN	u v a R S f u g l @ n
UVÊRSKLEDA	u v a R S k l e d A
UVÊRSKLEDE	u v a R S k l e d a
UVÊRSKLEDET	u v a R S k l e d a
UVÊRSKLEDI	u v a R S k l e d i
UVÊRSKRÅKA	u v a R S k R o k A
UVÊRSKRÅKE	u v a R S k R o k a
UVÊRSKRÅKENE	u v a R S k R o k E n a
UVÊRSKRÅKER	u v a R S k R o k @ R
UVÊRSKRÅKONE	u v a R S k R o k u n a
UVÊRSKRÅKOR	u v a R S k R o k u R
UVÊRSNATT	u v a R S n A t
UVÊRSNATTA	u v a R S n A t A
UVÊRSNATTI	u v a R S n A t i
UVÊRSNETTENE	u v a R S n E t E n a
UVÊRSNETTER	u v a R S n E t @ R
UVÊRSPLAGG	u v a R S p l A g
UVÊRSPLAGGA	u v a R S p l A g A
UVÊRSPLAGGET	u v a R S p l A g @ t
UVÊRSPLAGGI	u v a R S p l A g i
UVÊRSRI	u v a R S R i
UVÊRSRIA	u v a R S R i A
UVÊRSRIENE	u v a R S R i E n a
UVÊRSRIER	u v a R S R i @ R
UVÊRSRII	u v a R S R i i
UVÊRSSENTRA	u v a R S s E n t R A
UVÊRSSENTRAI	u v a R S s E n t R A I
UVÊRSSENTRET	u v a R S s E n t R @ t
UVÊRSSENTRUM	u v a R S s E n t R u m
UVÊRSSENTRUMA	u v a R S s E n t R u m A
UVÊRSSENTRUMET	u v a R S s E n t R u m @ t
UVÊRSSENTRUMI	u v a R S s E n t R u m i
UVÊRSSENTRAA	u v a R S s E n t R o
UVÊRSSKY	u v a R S S y
UVÊRSSKYA	u v a R S S y A
UVÊRSSKYENE	u v a R S S y E n a
UVÊRSSKYER	u v a R S S y @ R
UVÊRSSKYI	u v a R S S y i
UVØRA	u v y R A
VAKTTØRN	v A k t W R n
VAKTTØRNENE	v A k t W R n E n a
VAKTTØRNENES	v A k t W R n e n @ s
VAKTTØRNS	v A k t W R n s
VALKOMITÉ	v A l k u m i t e
VALKOMITÉANE	v A l k u m i t e a n a
VALKOMITÉAR	v A l k u m i t e a R
VALKOMITÉEN	v A l k u m i t e @ n
VALNÒTTRE	v A l n O t R a
VALNÒTTREA	v A l n O t R e A
VALNÒTTREET	v A l n O t R e @ t
VALNÒTTREI	v A l n O t R aI
VARIETÉANE	v a R i e t e a n a
VARIETÉAR	v a R i e t e a R
VARIETÉFRAMSYNING	v a R i e t e f R A m s y n I N
VARIETÉFRAMSYNINGA	v a R i e t e f R A m s y n I N A
VARIETÉFRAMSYNINGANE	v a R i e t e f R A m s y n I N a n a
VARIETÉFRAMSYNINGAR	v a R i e t e f R A m s y n I N a R
VARIETÉFRAMSYNINGI	v a R i e t e f R A m s y n I N i
VARIETÉSCENA	v a R i e t e s k e n A
VARIETÉSCENANE	v a R i e t e s k e n a n a
VARIETÉSCENAR	v a R i e t e s k e n a R
VARIETÉSCENE	v a R i e t e s k E n a
VARIETÉSCENEN	v a R i e t e s k e n @ n
VARIETÉSCENENE	v a R i e t e s k e n E n a
VARIETÉSCENER	v a R i e t e s k e n @ R
VARIETÉSCENONE	v a R i e t e s k e n u n a
VARIETÉSCENOR	v a R i e t e s k e n u R
VARIETÉSENA	v a R i e t e s e n A
VARIETÉSENANE	v a R i e t e s e n a n a
VARIETÉSENAR	v a R i e t e s e n a R
VARIETÉSENE	v a R i e t e s E n a
VARIETÉSENEN	v a R i e t e s e n @ n
VARIETÉSENENE	v a R i e t e s e n E n a
VARIETÉSENER	v a R i e t e s e n @ R
VARIETÉSENONE	v a R i e t e s e n u n a
VARIETÉSENOR	v a R i e t e s e n u R
VARIETÉSONGARINNA	v a R i e t e s O N a R I n n A
VARIETÉSONGARINNE	v a R i e t e s O N a R I n n a
VARIETÉSONGARINNENE	v a R i e t e s O N a R I n n E n a
VARIETÉSONGARINNER	v a R i e t e s O N a R I n n @ R
VARIETÉSONGARINNONE	v a R i e t e s O N a R I n n u n a
VARIETÉSONGARINNOR	v a R i e t e s O N a R I n n u R
VARIETÉSTJERNONE	v a R i e t e s s a R n u n a
VARIETÉSTJERNOR	v a R i e t e s s a R n u R
VEDERFÓRS	v e d a R f O S
VEDERFÓRST	v e d a R f O R S t
VEDØ	v e d y
VENTILFJØR	v E n t I l f j y R
VENTILFJØRA	v E n t I l f j y R A
VENTILFJØRAS	v E n t I l f j y R a s
VENTILFJØREN	v E n t I l f j y R @ n
VENTILFJØRENE	v E n t I l f j y R E n a
VENTILFJØRENES	v E n t I l f j y R e n @ s
VENTILFJØRENS	v E n t I l f j y R @ n s
VENTILFJØRER	v E n t I l f j y R @ R
VENTILFJØRERS	v E n t I l f j y R a S
VENTILFJØRS	v E n t I l f j W S
VÊR	v e R
VÊRA	v e R A
VÊRANDE	v e R A n n a
VÊRANE	v e R a n a
VÊRAR	v e R a R
VÊRAS	v e R a s
VÊRAST	v e R A s t
VÊRBALLONG	v a R b A l l O N
VÊRBALLONGANE	v a R b A l l O N a n a
VÊRBALLONGAR	v a R b A l l O N a R
VÊRBALLONGEN	v a R b A l l O N @ n
VÊRBARKA	v a R b A R k A
VÊRBARKAARE	v a R b A R k o R a
VÊRBARKAAST	v a R b A R k O s t
VÊRBARKAASTE	v a R b A R k O s t a
VÊRBITE	v a R b i t a
VÊRBITEN	v a R b i t @ n
VÊRBITI	v a R b i t i
VÊRBITNARE	v a R b I t n a R a
VÊRBITNAST	v a R b I t n A s t
VÊRBITNASTE	v a R b I t n A s t a
VÊRBITNE	v a R b I t n a
VÊRBLINK	v a R b l I N k
VÊRBLINKANE	v a R b l I N k a n a
VÊRBLINKAR	v a R b l I N k a R
VÊRBLINKEN	v a R b l I N k @ n
VÊRBOGANE	v a R b u g a n a
VÊRBOGAR	v a R b u g a R
VÊRBOGE	v a R b u g a
VÊRBOGEN	v a R b u g @ n
VÊRBOK	v a R b u k
VÊRBOKA	v a R b u k A
VÊRBOKI	v a R b u dZ i
VÊRBRAUT	v a R b R a w t
VÊRBRAUTA	v a R b R a w t A
VÊRBRAUTENE	v a R b R a w t E n a
VÊRBRAUTER	v a R b R a w t @ R
VÊRBRAUTI	v a R b R a w t i
VÊRBREST	v a R b R E s t
VÊRBRESTANE	v a R b R @ s t a n a
VÊRBRESTAR	v a R b R @ s t a R
VÊRBRESTEN	v a R b R E s t @ n
VÊRBRESTENE	v a R b R @ s t E n a
VÊRBRESTER	v a R b R E s t @ R
VÊRBRIGDA	v a R b R I g d A
VÊRBRIGDE	v a R b R I g d a
VÊRBRIGDET	v a R b R I g d a
VÊRBRIGDI	v a R b R I g d i
VÊRBYTA	v a R b y t A
VÊRBYTE	v a R b y t a
VÊRBYTET	v a R b y t @ t
VÊRBYTI	v a R b y t i
VÊRBØKENE	v a R b y k E n a
VÊRBØKER	v a R b y k @ R
VERDENSPREMIÉRE	v a R d @ n s p R e m i e R a
VÊRE	v e R a
VÊREN	v e R @ n
VÊRET	v e R @ t
VÊRFAST	v a R f A s t
VÊRFASTARE	v a R f A s t a R a
VÊRFASTAST	v a R f A s t A s t
VÊRFASTASTE	v a R f A s t A s t a
VÊRFASTE	v a R f A s t a
VÊRFORANDRING	v a R f u R A n n R I N
VÊRFORANDRINGA	v a R f u R A n n R I N A
VÊRFORANDRINGANE	v a R f u R A n n R I N a n a
VÊRFORANDRINGAR	v a R f u R A n n R I N a R
VÊRFORANDRINGI	v a R f u R A n n R I N i
VÊRFORHOLD	v a R f O R h O l l
VÊRFORHOLDA	v a R f O R h O l l A
VÊRFORHOLDET	v a R f O R h O l l @ t
VÊRFORHOLDI	v a R f O R h O l l i
VÊRGARD	v a R g A R
VÊRGARDANE	v a R g A R d a n a
VÊRGARDAR	v a R g A R d a R
VÊRGARDEN	v a R g A R d @ n
VÊRGLAS	v a R g l a s
VÊRGLASA	v a R g l a s A
VÊRGLASET	v a R g l a s @ t
VÊRGLASI	v a R g l a s i
VÊRGLIMT	v a R g l I m t
VÊRGLIMTA	v a R g l I m t A
VÊRGLIMTANE	v a R g l I m t a n a
VÊRGLIMTAR	v a R g l I m t a R
VÊRGLIMTEN	v a R g l I m t @ n
VÊRGLIMTET	v a R g l I m t @ t
VÊRGLIMTI	v a R g l I m t i
VÊRGUD	v a R g u d
VÊRGUDANE	v a R g u d a n a
VÊRGUDAR	v a R g u d a R
VÊRGUDEN	v a R g u d @ n
VÊRHANANE	v a R h a n a n a
VÊRHANAR	v a R h a n a R
VÊRHANE	v a R h a n a
VÊRHANEN	v a R h a n @ n
VÊRHARD	v a R h A R
VÊRHARDARE	v a R h A R d a R a
VÊRHARDAST	v a R h A R d A s t
VÊRHARDASTE	v a R h A R d A s t a
VÊRHARDE	v a R h A R d a
VÊRHARDT	v a R h A R d t
VÊRHERDIG	v a R h a R d I
VÊRHERDIGARE	v a R h a R d i g a R a
VÊRHERDIGAST	v a R h a R d i g A s t
VÊRHERDIGASTE	v a R h a R d i g A s t a
VÊRHERDIGE	v a R h a R d i g a
VÊRHERDSLA	v a R h a R d S l A
VÊRHERDSLE	v a R h a R d S l a
VÊRHERDSLENE	v a R h a R d S l E n a
VÊRHERDSLER	v a R h a R d S l @ R
VÊRHERDSLONE	v a R h a R d S l u n a
VÊRHERDSLOR	v a R h a R d S l u R
VÊRHERDUG	v a R h a R d u g
VÊRHERDUGARE	v a R h a R d u g a R a
VÊRHERDUGAST	v a R h a R d u g A s t
VÊRHERDUGASTE	v a R h a R d u g A s t a
VÊRHERDUGE	v a R h a R d u g a
VÊRHOVUD	v a R h u v u d
VÊRHOVUDANE	v a R h u v u d a n a
VÊRHOVUDAR	v a R h u v u d a R
VÊRHOVUDEN	v a R h u v u d @ n
VÊRHÅR	v a R h o R
VÊRHÅRA	v a R h o R A
VÊRHÅRET	v a R h o R @ t
VÊRHÅRI	v a R h o R i
VÊRI	v e R i
VÊRKART	v a R k A R t
VÊRKARTA	v a R k A R t A
VÊRKARTET	v a R k A R t @ t
VÊRKARTI	v a R k A R t i
VÊRKULA	v a R k u l A
VÊRKULE	v a R k u l a
VÊRKULENE	v a R k u l E n a
VÊRKULER	v a R k u l @ R
VÊRKULONE	v a R k u l u n a
VÊRKULOR	v a R k u l u R
VÊRLAG	v a R l a g
VÊRLAGA	v a R l a g A
VÊRLAGET	v a R l a g @ t
VÊRLAGI	v a R l a j i
VÊRLAM	v a R l a m
VÊRLAMMA	v a R l A m m A
VÊRLAMMET	v a R l A m m @ t
VÊRLAMMI	v a R l A m m i
VÊRLJOS	v a R j u s
VÊRLJOSA	v a R j u s A
VÊRLJOSET	v a R j u s @ t
VÊRLJOSI	v a R j u s i
VÊRLYS	v a R l y s
VÊRLYSA	v a R l y s A
VÊRLYSE	v a R l y s a
VÊRLYSET	v a R l y s @ t
VÊRLYSI	v a R l y s i
VÊRMANN	v a R m A n
VÊRMANNEN	v a R m A n n @ n
VÊRMELDING	v a R m @ l l I N
VÊRMELDINGA	v a R m @ l l I N A
VÊRMELDINGANE	v a R m @ l l I N a n a
VÊRMELDINGAR	v a R m @ l l I N a R
VÊRMELDINGI	v a R m @ l l I N i
VÊRMENN	v a R m E n
VÊRMENNENE	v a R m @ n n E n a
VÊRMENNER	v a R m E n n @ R
VÊRMERKA	v a R m a R k A
VÊRMERKE	v a R m a R k a
VÊRMERKET	v a R m a R k @ t
VÊRMERKI	v a R m a R dZ i
VÊROMSLAG	v e R O m S l a g
VÊROMSLAGA	v e R O m S l a g A
VÊROMSLAGET	v e R O m S l a g @ t
VÊROMSLAGI	v e R O m S l a j i
VÊRSATELLITT	v a R S a t E l l I t
VÊRSATELLITTANE	v a R S a t E l l I t a n a
VÊRSATELLITTAR	v a R S a t E l l I t a R
VÊRSATELLITTEN	v a R S a t E l l I t @ n
VÊRSITUASJON	v a R S i t u A S u n
VÊRSITUASJONANE	v a R S i t u A S u n a n a
VÊRSITUASJONAR	v a R S i t u A S u n a R
VÊRSITUASJONEN	v a R S i t u A S u n @ n
VÊRSJUK	v a R S u k
VÊRSJUKARE	v a R S u k a R a
VÊRSJUKAST	v a R S u k A s t
VÊRSJUKASTE	v a R S u k A s t a
VÊRSJUKE	v a R S u k a
VÊRSJUKT	v a R S u k t
VÊRSKIFTA	v a R S I f t A
VÊRSKIFTE	v a R S I f t a
VÊRSKIFTET	v a R S I f t @ t
VÊRSKIFTI	v a R S I f t i
VÊRSKIP	v a R S i p
VÊRSKIPA	v a R S i p A
VÊRSKIPET	v a R S i p @ t
VÊRSKIPI	v a R S i p i
VÊRSLITE	v a R S l i t a
VÊRSLITEN	v a R S l i t @ n
VÊRSLITI	v a R S l i t i
VÊRSLITNARE	v a R S l I t n a R a
VÊRSLITNAST	v a R S l I t n A s t
VÊRSLITNASTE	v a R S l I t n A s t a
VÊRSLITNE	v a R S l I t n a
VÊRSOL	v a R S u l
VÊRSOLA	v a R S u l A
VÊRSOLENE	v a R S u l E n a
VÊRSOLER	v a R S u l @ R
VÊRSOLI	v a R S u l i
VÊRSTODA	v a R S t u d A
VÊRSTODE	v a R S t u d a
VÊRSTODENE	v a R S t u d E n a
VÊRSTODER	v a R S t u d @ R
VÊRSTODONE	v a R S t u d u n a
VÊRSTODOR	v a R S t u d u R
VÊRSTØDA	v a R S t y d A
VÊRSTØDE	v a R S t y d a
VÊRSTØDET	v a R S t y d a
VÊRSTØDI	v a R S t y d i
VÊRTENEST	v a R t e n E s t
VÊRTENESTA	v a R t e n E s t A
VÊRTENESTE	v a R t e n E s t a
VÊRTENESTENE	v a R t e n E s t E n a
VÊRTENESTER	v a R t e n E s t @ R
VÊRTENESTI	v a R t e n E s t i
VÊRTENESTONE	v a R t e n E s t u n a
VÊRTENESTOR	v a R t e n E s t u R
VÊRTILHØVA	v a R t I l h y v A
VÊRTILHØVE	v a R t I l h y v a
VÊRTILHØVET	v a R t I l h y v @ t
VÊRTILHØVI	v a R t I l h y v i
VÊRTILSTAND	v a R t I l s t A n n
VÊRTILSTANDANE	v a R t I l s t A n n a n a
VÊRTILSTANDAR	v a R t I l s t A n n a R
VÊRTILSTANDEN	v a R t I l s t A n n @ n
VÊRUTSIKT	v e R u t s I k t
VÊRUTSIKTA	v e R u t s I k t A
VÊRUTSIKTENE	v e R u t s I k t E n a
VÊRUTSIKTER	v e R u t s I k t @ R
VÊRUTSIKTI	v e R u t s I k t i
VÊRVARSEL	v a R v A R S @ l
VÊRVARSELET	v a R v A R S e l @ t
VÊRVARSLA	v a R v A R S l A
VÊRVARSLET	v a R v A R S l @ t
VÊRVARSLI	v a R v A R S l i
VÊRVARSLING	v a R v A R S l I N
VÊRVARSLINGA	v a R v A R S l I N A
VÊRVARSLINGANE	v a R v A R S l I N a n a
VÊRVARSLINGAR	v a R v A R S l I N a R
VÊRVARSLINGI	v a R v A R S l I N i
VÊRVARSLINGSTENEST	v a R v A R S l I N s t e n E s t
VÊRVARSLINGSTENESTA	v a R v A R S l I N s t e n E s t A
VÊRVARSLINGSTENESTE	v a R v A R S l I N s t e n E s t a
VÊRVARSLINGSTENESTENE	v a R v A R S l I N s t e n E s t E n a
VÊRVARSLINGSTENESTER	v a R v A R S l I N s t e n E s t @ R
VÊRVARSLINGSTENESTI	v a R v A R S l I N s t e n E s t i
VÊRVARSLINGSTENESTONE	v a R v A R S l I N s t e n E s t u n a
VÊRVARSLINGSTENESTOR	v a R v A R S l I N s t e n E s t u R
VÊRÅTTA	v e R O t A
VÊRÅTTE	v e R O t a
VÊRÅTTENE	v e R O t E n a
VÊRÅTTER	v e R O t @ R
VÊRÅTTONE	v e R O t u n a
VÊRÅTTOR	v e R O t u R
VESTAVÊR	v E s t a v @ R
VESTAVÊRA	v E s t a v e R A
VESTAVÊRET	v E s t a v e R @ t
VESTAVÊRI	v E s t a v e R i
VESTEFÔRI	v E s t e f u R i
VESTLANDSVÊR	v E s t l A n n s v @ R
VESTLANDSVÊRA	v E s t l A n n s v e R A
VESTLANDSVÊRET	v E s t l A n n s v e R @ t
VESTLANDSVÊRI	v E s t l A n n s v e R i
VILJESVÊR	v I j E s v @ R
VILJESVÊRA	v I j @ s v e R A
VILJESVÊRET	v I j @ s v e R @ t
VILJESVÊRI	v I j @ s v e R i
VILJEVÊR	v I j e v @ R
VILJEVÊRA	v I j e v e R A
VILJEVÊRET	v I j e v e R @ t
VILJEVÊRI	v I j e v e R i
VINTERFÔRANDE	v I n t a R f u R A n n a
VINTERFÔRAR	v I n t a R f u R a R
VINTERFÔRAST	v I n t a R f u R A s t
VINTERFÔRE	v I n t a R f u R a
VINTERFÔRI	v I n t a R f u R i
VINTERFÔRINGANE	v I n t a R f u R I N a n a
VINTERFÔRINGAR	v I n t a R f u R I N a R
VINTERFÔRINGI	v I n t a R f u R I N i
VINTERVÊR	v I n t a R v @ R
VINTERVÊRA	v I n t a R v e R A
VINTERVÊRET	v I n t a R v e R @ t
VINTERVÊRI	v I n t a R v e R i
VIS-Á-VIS	v i s A A k u t v i s
VISKELÊR	v I s k e l @ R
VISKELÊRA	v I s k e l e R A
VISKELÊRET	v I s k e l e R @ t
VISKELÊRI	v I s k e l e R i
VÒK	v u k
VÒKA	v u k A
VÒKANDE	v u k A n n a
VÒKAR	v u k a R
VÒKAS	v u k a s
VÒKAST	v u k A s t
VÒKE	v u k a
VÒKEELD	v u k e E l l
VÒKEELDANE	v u k e E l l a n a
VÒKEELDAR	v u k e E l l a R
VÒKEELDEN	v u k e E l l @ n
VÒKENATT	v u k e n A t
VÒKENATTA	v u k e n A t A
VÒKENATTI	v u k e n A t i
VÒKENE	v u k E n a
VÒKENETTENE	v u k e n E t E n a
VÒKENETTER	v u k e n E t @ R
VÒKER	v u k @ R
VÒKI	v u dZ i
VÒKONE	v u k u n a
VÒKOR	v u k u R
VONDVÊR	v w n n v @ R
VONDVÊRA	v w n n v e R A
VONDVÊRET	v w n n v e R @ t
VONDVÊRI	v w n n v e R i
VÓR	v u R
VÒR	v u R
VÓRANE	v u R a n a
VÒRANE	v u R a n a
VÓRAR	v u R a R
VÒRAR	v u R a R
VÓREN	v u R @ n
VÒREN	v u R @ n
VÆPNA	v a p n A
VÆPNET	v a p n @ t
VÆR	v a R
VÆRA	v a R A
VÆRAS	v a R a s
VÆRE	v a R a
VÆREN	v a R @ n
VÆRENDE	v a R E n n a
VÆRENDES	v a R E n n @ s
VÆRENE	v a R E n a
VÆRENES	v a R e n @ s
VÆRENS	v a R @ n s
VÆRER	v a R @ R
VÆRERS	v a R a S
VÆRES	v a R @ s
VÆRET	v a R @ t
VÆRETE	v a R e t a
VÆRETES	v a R e t @ s
VÆRETS	v a R E t s
VÆRING	v a R I N
VÆRS	v a S
VÆRT	v a R t
VÆRTEGN	v a R t E N n
VÆRVEIEN	v a R v aI @ n
VÆT	v E t
VÆTE	v E t a
VÆTERE	v E t e R a
VÆTERES	v E t e R @ s
VÆTES	v E t @ s
VÆTT	v a t
VÆTTS	v a t s
VØL	v y l
VØLA	v y l A
VØLAS	v y l a s
VØLE	v y l a
VØLENDE	v y l E n n a
VØLENDES	v y l E n n @ s
VØLER	v y l @ R
VØLES	v y l @ s
VØLING	v y l I N
VØLT	v W l t
VØLTE	v W l t a
VØLTES	v W l t @ s
VØLTS	v W l t s
VØR	v y R
VØRE	v y R a
VØRENDE	v y R E n n a
VØRENDES	v y R E n n @ s
VØRER	v y R @ R
VØRES	v y R @ s
VØRING	v y R I N
VØRT	v W R t
VÅR	v o R
VÅRD	v O R
VÅRVÊR	v O R v @ R
VÅRVÊRA	v O R v e R A
VÅRVÊRET	v O R v e R @ t
VÅRVÊRI	v O R v e R i
VÅTFÔRI	v O t f u R i
VÅTVÊR	v O t v @ R
VÅTVÊRA	v O t v e R A
VÅTVÊRET	v O t v e R @ t
VÅTVÊRI	v O t v e R i
WÖRNER	v W R n @ R
YNSKEVÊR	y n s k e v @ R
YNSKEVÊRA	y n s k e v e R A
YNSKEVÊRET	y n s k e v e R @ t
YNSKEVÊRI	y n s k e v e R i
YNSKJEVÊR	y n S e v @ R
YNSKJEVÊRA	y n S e v e R A
YNSKJEVÊRET	y n S e v e R @ t
YNSKJEVÊRI	y n S e v e R i
YRKESKARRIÉRE	y R k @ s k A R R i e R a
Æ	E
Æ	E
Æ-EN	E e n
